2011-11-25 14:10:26 Notice: Notice (8): Undefined property: PaisesController::$Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/paises_controller.php, line 31]
2011-11-25 14:11:48 Notice: Notice (8): Undefined property: PaisesController::$Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/paises_controller.php, line 31]
2011-11-25 14:14:45 Notice: Notice (8): Undefined property: PaisesController::$Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/paises_controller.php, line 31]
2011-11-25 14:18:46 Notice: Notice (8): Undefined property: PaisesController::$Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/paises_controller.php, line 31]
2011-11-25 14:18:47 Notice: Notice (8): Undefined property: PaisesController::$Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/paises_controller.php, line 31]
2011-11-25 14:29:15 Notice: Notice (8): Undefined property: PaisesController::$Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/paises_controller.php, line 31]
2011-11-25 14:29:49 Notice: Notice (8): Undefined property: PaisesController::$Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/paises_controller.php, line 31]
2011-11-25 14:30:17 Notice: Notice (8): Undefined property: PaisesController::$Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/paises_controller.php, line 31]
2011-11-25 14:30:23 Notice: Notice (8): Undefined property: PaisesController::$Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/paises_controller.php, line 31]
2011-11-25 14:30:24 Notice: Notice (8): Undefined property: PaisesController::$Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/paises_controller.php, line 31]
2011-11-25 14:30:38 Notice: Notice (8): Undefined index: Divisa in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/paises/form.ctp, line 11]
2011-11-25 14:30:38 Notice: Notice (8): Undefined index: Divisa in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/paises/form.ctp, line 12]
2011-11-25 14:30:38 Notice: Notice (8): Undefined index: Divisa in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/paises/form.ctp, line 16]
2011-11-25 14:30:38 Notice: Notice (8): Undefined index: Divisa in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/paises/form.ctp, line 17]
2011-11-25 14:30:38 Notice: Notice (8): Undefined index: Divisa in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/paises/form.ctp, line 21]
2011-11-25 14:30:38 Notice: Notice (8): Undefined index: Divisa in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/paises/form.ctp, line 22]
2011-11-25 14:30:38 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/paises/form.ctp, line 40]
2011-11-25 14:30:38 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/paises/form.ctp, line 44]
2011-11-25 14:30:38 Notice: Notice (8): Undefined index: Pais in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/paises/form.ctp, line 48]
2011-11-25 14:31:52 Notice: Notice (8): Undefined index: Divisa in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/paises/form.ctp, line 11]
2011-11-25 14:31:52 Notice: Notice (8): Undefined index: Divisa in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/paises/form.ctp, line 12]
2011-11-25 14:31:52 Notice: Notice (8): Undefined index: Divisa in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/paises/form.ctp, line 16]
